Time Point,Adenosylhomocysteinase,Apolipophorins,Arylphorin,Chymotrypsin 1,Chymotrypsin 2,Clavesin,CYP6A1,CYP6B1,?11 Desaturase,Fatty Acid Synthase,Hexamerin,Lysosomal Aspartic Protease,Sialin,Toll,Vitellogenin 1,Vitellogenin 2,Vitellogenin 3,Yellow Protein
M0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M1,0.83,1.48,8.98,0.13,0.14,116.95,0.92,0.13,0.2,0.15,9.93,5.61,0.91,0.37,0.09,0.13,0.07,0.5
M2,0.68,1.44,1.84,0.05,0.03,19.94,0.69,0.08,0.07,0.07,7.09,10.55,0.66,0.33,0.02,0.04,0.04,0.24
M3,0.34,1.23,0.61,0.03,0.01,206.27,0.58,0.04,0.07,0.03,13.97,12.93,1.07,0.24,0.03,0.08,0.03,0.12
M4,0.65,1.75,1.86,0.06,0.03,164.44,1.07,0.1,0.11,0.05,10.92,27.39,15.2,0.61,0.03,0.04,0.06,0.28
M5,1.13,1.64,3.52,0.13,0.08,372.88,1.7,0.19,0.15,0.11,18.3,24,42.19,0.69,0.08,0.08,0.16,0.64
M6,0.69,1.54,1.89,0.08,0.03,343.48,1.52,0.1,0.09,0.07,12.53,14.36,7.17,0.18,0.04,0.05,0.05,0.24
M0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M1,4.7,8.5,12.68,0.94,1.14,12.83,2.29,1.73,0.72,0.88,11.78,128.42,3.41,0.3,0.9,0.76,2.75,2.48
M2,0.85,14.9,0.86,0.08,0.09,92.09,1.12,0.19,0.09,0.09,3.55,49.26,12.31,0.25,0.09,0.05,0.2,0.22
M3,2.21,6.21,4.32,0.34,0.53,40.37,3.21,0.54,0.22,0.32,8.42,59.3,5.4,0.36,0.31,0.21,0.9,1.1
M4,3.67,12.47,6.54,0.68,0.53,14.42,3.04,1.06,0.62,0.47,34.94,82,60.41,0.78,0.82,0.34,1.39,1.61
M5,1.59,20.29,1.43,0.12,0.14,551.8,2.11,0.32,0.17,0.1,6.25,56.26,68.56,0.38,0.21,0.1,0.32,0.37
M6,6.23,11.84,12.18,1.33,1.25,359.33,3.82,1.67,0.99,0.24,47.67,122.94,27.21,1.1,1.17,1.15,2.29,2.36
M0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M1,1.02,2.36,1.33,1.03,1.32,13.3,1.36,1.28,0.51,1.05,0.88,14.58,3.03,0.6,0.54,0.66,1.03,1.27
M2,0.82,2.33,0.89,0.82,0.79,11.33,1.22,0.8,1.08,2.97,1.07,9.47,3.75,1.08,0.99,0.74,0.78,0.79
M3,0.81,2.17,1.25,0.88,1.11,26.91,1.19,0.86,0.89,1,1.11,17.14,1.76,1.04,0.81,0.83,0.75,0.98
M4,0.98,2.27,1.24,1.02,1.02,88.33,1.35,1.02,1.06,10.14,1.59,13.35,343.06,1.31,0.97,0.97,0.9,1.05
M5,2.34,2.89,3.88,2.52,2.77,80.61,4.36,2.92,2.49,2.44,3.44,23.79,14.69,2.4,2.36,2.45,2.29,3.24
M6,1.41,3.73,1.44,1.37,1.2,20.33,1.93,1.64,1.6,1.67,1.76,26.17,4.67,1.9,1.52,1.52,1.23,1.22
M0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M1,2.74,4.02,2.96,3.04,3.21,0.65,2.36,2.15,2.26,3.08,2.33,7.6,3.52,1.79,1.88,2.8,2.83,3.71
M2,0.68,4.52,0.81,0.88,0.94,1.23,0.76,0.72,0.71,2.15,0.87,3.53,2.26,0.7,0.56,0.8,0.69,1.02
M3,4.36,0.4,8.07,6.88,16.81,0.49,2.6,6.91,9.55,29.04,9.54,1.5,0.82,3.15,10.99,15.3,7.03,4.79
M4,1.75,1.54,1.89,2.05,2.08,0.86,1.56,1.56,1.74,2.97,1.93,3.08,11.57,1.14,1.7,2.21,2.41,2.09
M5,9.8,0.97,26.64,22.03,24.51,0.48,7.18,16.6,17.59,15.79,19.39,7.79,11.62,8.3,21.38,26.18,19.97,18.77
M6,1,1.47,1.11,1.28,1.35,0.54,1.04,0.84,0.81,0.87,1.1,1.73,1.88,0.83,0.81,1.13,1.39,1.68
