locus_ID,log2(fold_change)
LOC105667283,-1.13166
LOC105667284,-0.735266
LOC105667285,-0.555434
LOC105667286,1.33687
LOC105667287,-0.448218
LOC105667288,0.621444
LOC105667289,-0.10195
LOC105667290,0.544608
LOC105667291,-3.20327
LOC105667292,0
LOC105667293,0.293779
LOC105667294,-0.145609
LOC105667295,0.779196
LOC105667296,-1.13412
LOC105667297,0.252011
LOC105667298,0.161683
LOC105667299,-0.284392
LOC105667300,0.720696
LOC105667301,
LOC105667302,0.315809
LOC105667303,0.140129
LOC105667304,3.85293
LOC105667305,-0.560137
LOC105667306,
LOC105667307,
LOC105667308,
LOC105667309,-0.415508
LOC105667310,-0.252029
LOC105667311,-0.143841
LOC105667312,0.363485
LOC105667313,0.160564
LOC105667314,0.935174
LOC105667315,0.548588
LOC105667316,1.26013
LOC105667317,0.18118
LOC105667318,-0.297133
LOC105667319,0.0825847
LOC105667320,0.261172
LOC105667321,0.909705
LOC105667322,0.0375216
LOC105667323,-1.13233
LOC105667324,2.63581
LOC105667325,-0.804125
LOC105667326,-0.358126
LOC105667327,-0.484407
LOC105667328,0.0807926
LOC105667329,0.7278
LOC105667330,-0.0522948
LOC105667331,0.0971486
LOC105667332,-0.385834
LOC105667333,1.88636
LOC105667334,1.3015
LOC105667335,-0.708594
LOC105667336,0.487611
LOC105667337,-0.147798
LOC105667338,0.0600832
LOC105667339,-0.351435
LOC105667340,0.157784
LOC105667341,-0.454518
LOC105667342,0.250213
LOC105667343,0.135396
LOC105667344,-0.171793
LOC105667345,-1.06942
LOC105667346,-0.0909631
LOC105667347,0.262472
LOC105667348,0.568481
LOC105667349,-0.328393
LOC105667350,0.631408
LOC105667351,0.618482
LOC105667352,
LOC105667353,-0.473038
LOC105667354,4.18648
LOC105667355,
LOC105667356,2.83133
LOC105667357,-0.0986948
LOC105667358,2.30764
LOC105667359,-1.54133
LOC105667360,-0.03533
LOC105667361,-1.70992
LOC105667362,-0.0656554
LOC105667363,0
LOC105667364,-0.407796
LOC105667365,0.128387
LOC105667366,0.0728187
LOC105667367,0.668427
LOC105667368,-1.02795
LOC105667369,0.00159489
LOC105667370,0.478079
LOC105667371,0.175815
LOC105667372,0.101539
LOC105667373,-0.223458
LOC105667374,-2.62407
LOC105667375,-0.0196877
LOC105667376,0.239333
LOC105667377,-0.109167
LOC105667378,-0.0774257
LOC105667379,-0.00141367
LOC105667380,-0.30354
LOC105667381,0.12579
LOC105667382,0.393644
LOC105667383,0.0689998
LOC105667384,0.365954
LOC105667385,0.220323
LOC105667386,-2.88321
LOC105667387,0.00814
LOC105667388,0.366472
LOC105667389,0.207778
LOC105667390,0.114349
LOC105667391,1.74107
LOC105667392,0.217128
LOC105667393,
LOC105667394,
LOC105667395,-0.0360763
LOC105667396,1.04559
LOC105667397,2.71746
LOC105667398,3.56693
LOC105667399,0.54938
LOC105667400,-0.421687
LOC105667401,0.145549
LOC105667402,0.0269935
LOC105667403,
LOC105667404,-0.0668967
LOC105667405,-0.0270329
LOC105667406,0.0491084
LOC105667407,-0.111158
LOC105667408,-0.223948
LOC105667409,-0.514442
LOC105667410,0.111017
LOC105667411,0.452301
LOC105667412,0.187455
LOC105667413,2.96888
LOC105667414,0.762659
LOC105667415,0.665046
LOC105667416,0.93556
LOC105667417,0.301379
