Locus_ID,log2FoldChange
LOC105667283,-0.939862625
LOC105667284,-0.601575446
LOC105667285,-0.489126278
LOC105667286,0.54161318
LOC105667287,-0.359423911
LOC105667288,0.387494886
LOC105667289,-0.145688184
LOC105667290,0.184787517
LOC105667291,-0.96995203
LOC105667292,0.197479771
LOC105667293,0.185351402
LOC105667294,-0.01558175
LOC105667295,0.593621039
LOC105667296,-0.663914562
LOC105667297,0.231967659
LOC105667298,0.081111639
LOC105667299,-0.226764567
LOC105667300,0.34583222
LOC105667301,0.223434916
LOC105667302,0.358434908
LOC105667303,0.093264285
LOC105667304,0.56907022
LOC105667305,0.124193053
LOC105667306,0.370406853
LOC105667307,0.426544316
LOC105667308,0.476907443
LOC105667309,-0.422261764
LOC105667310,-0.082272155
LOC105667311,-0.117881655
LOC105667312,0.301666229
LOC105667313,0.064050202
LOC105667314,0.543953016
LOC105667315,0.44859948
LOC105667316,0.808970593
LOC105667317,0.481641206
LOC105667318,-0.357768671
LOC105667319,-0.089909105
LOC105667320,0.230406292
LOC105667321,0.606224656
LOC105667322,-0.015622744
LOC105667323,-1.057739625
LOC105667324,0.518764104
LOC105667326,-0.391078714
LOC105667327,-0.380744151
LOC105667328,0.036120385
LOC105667329,0.510665984
LOC105667330,-0.094118886
LOC105667331,-0.012877036
LOC105667332,-0.433880415
LOC105667333,0.25870863
LOC105667334,0.427276534
LOC105667335,-0.523544906
LOC105667336,0.300854007
LOC105667337,-0.252206063
LOC105667339,-0.283600877
LOC105667340,0.046552984
LOC105667341,-0.406336756
LOC105667342,0.217314719
LOC105667343,0.100998908
LOC105667344,-0.166238806
LOC105667345,-0.409609863
LOC105667346,0.224922251
LOC105667347,0.147547073
LOC105667348,0.227630094
LOC105667349,-0.013097519
LOC105667351,0.571024994
LOC105667354,0.386931385
LOC105667355,0.383190698
LOC105667356,0.495581211
LOC105667357,-0.002141512
LOC105667358,0.554856853
LOC105667359,-1.059708905
LOC105667360,-0.031388781
LOC105667361,-0.38376304
LOC105667362,0.207759952
LOC105667363,0.531991427
LOC105667364,-0.44881576
LOC105667365,0.363412141
LOC105667366,0.229582669
LOC105667367,0.46688772
LOC105667368,-0.105970674
LOC105667369,-0.001248928
LOC105667370,0.33432999
LOC105667371,0.157281902
LOC105667372,0.186521862
LOC105667373,-0.202406681
LOC105667374,-1.588727056
LOC105667375,-0.067600083
LOC105667376,0.152199173
LOC105667377,-0.052348106
LOC105667378,-0.170781325
LOC105667379,-0.008028363
LOC105667380,-0.176985779
LOC105667381,0.010001046
LOC105667382,0.480520006
LOC105667383,0.03687763
LOC105667384,0.364176232
LOC105667385,0.117710021
LOC105667386,-1.794880392
LOC105667387,-0.059293732
LOC105667388,0.282696621
LOC105667389,0.134413842
LOC105667390,0.057422293
LOC105667391,0.308718366
LOC105667392,0.173015765
LOC105667393,0.455618193
LOC105667394,0.488069366
LOC105667395,-0.055022014
LOC105667396,0.465082635
LOC105667397,0.35642426
LOC105667398,0.325558684
LOC105667399,0.22551959
LOC105667400,-0.427811163
LOC105667401,0.198376337
LOC105667402,0.086717244
LOC105667403,0.185535285
LOC105667404,-0.027600376
LOC105667405,0.001985391
LOC105667406,0.063546969
LOC105667407,-0.097508891
LOC105667408,-0.184205173
LOC105667409,-0.41867383
LOC105667410,0.098325218
LOC105667411,0.331062031
LOC105667412,0.117656942
LOC105667413,0.416755453
LOC105667414,0.529305957
LOC105667415,0.325572941
LOC105667416,0.537539353
LOC105667417,0.344406652
LOC105667418,-0.242836595
LOC105667419,0.399782205
LOC105667420,0.070945728
LOC105667421,0.158441712
LOC105667422,-0.313352321
LOC105667423,-0.103434526
LOC105667424,0.021247398
LOC105667425,0.241588899
LOC105667426,0.346501127
LOC105667427,0.417761068
LOC105667428,0.078433459
LOC105667429,0.188827923
LOC105667430,0.469383415
LOC105667431,0.367602133
LOC105667432,0.392093053
LOC105667433,0.379701429
LOC105667434,0.146831687
LOC105667435,0.380319913
LOC105667436,0.228588148
LOC105667437,0.209864382
LOC105667438,0.431426958
LOC105667439,0.34471635
LOC105667440,0.527825215
LOC105667441,0.285268882
LOC105667442,-0.13986393
LOC105667443,-0.134170295
LOC105667444,-0.259847922
LOC105667445,0.573665832
LOC105667446,-0.090510402
LOC105667447,-0.161467756
LOC105667448,0.744230256
LOC105667449,0.207009493
LOC105667450,-0.027666857
LOC105667451,0.10479168
LOC105667452,0.040012321
LOC105667453,0.287908559
LOC105667454,-0.008647662
LOC105667455,-0.370383383
LOC105667456,-0.397306286
LOC105667457,0.033240386
LOC105667458,0.535283528
LOC105667459,0.119818806
LOC105667460,-0.068638692
LOC105667461,0.410280203
LOC105667462,-0.382512917
LOC105667463,0.231499456
