Locus_ID,logFC,logCPM
LOC105667283,-1.234735649,3.10038401
LOC105667284,-0.655174465,7.033462956
LOC105667285,-0.505781191,6.392952902
LOC105667286,0.885800348,5.61680254
LOC105667287,-0.378495239,5.954467596
LOC105667288,0.431416892,5.08925005
LOC105667289,-0.154441631,5.999307437
LOC105667290,0.193394076,5.342570104
LOC105667291,-1.834752804,2.858718229
LOC105667292,1.233673175,-1.665106733
LOC105667293,0.188078768,6.309110665
LOC105667294,-0.015648681,4.924125211
LOC105667295,1.033035379,1.240754264
LOC105667296,-1.044073596,1.234870046
LOC105667297,0.244638202,4.974663577
LOC105667298,0.084573006,7.495099924
LOC105667299,-0.250376328,3.909031572
LOC105667300,0.379866801,3.86149803
LOC105667301,1.041712403,-1.380422719
LOC105667302,0.40825729,2.856353251
LOC105667303,0.092488811,5.228307728
LOC105667304,3.3732728,-0.368496777
LOC105667305,0.464115404,-0.053486215
LOC105667306,1.747256161,-0.673460075
LOC105667307,2.586142184,-1.114941271
LOC105667308,2.8146464,-0.752871852
LOC105667309,-0.459959934,6.913629859
LOC105667310,-0.101577141,3.562300033
LOC105667311,-0.131584114,4.84921111
LOC105667312,0.332148143,4.222701598
LOC105667313,0.063721241,4.639911465
LOC105667314,1.333403914,1.084933917
LOC105667315,2.578863339,-0.373132987
LOC105667316,0.864877618,6.996364354
LOC105667317,1.298199679,0.479380631
LOC105667318,-0.420284713,4.060122712
LOC105667319,-0.096846232,8.710380631
LOC105667320,0.264796272,4.498495886
LOC105667321,1.771159433,0.967022475
LOC105667322,-0.018317649,7.330204091
LOC105667323,-1.136858974,8.680406318
LOC105667324,2.640611739,0.867341357
LOC105667326,-0.423933612,6.792926626
LOC105667327,-0.40322843,7.028411757
LOC105667328,0.03246491,5.021149906
LOC105667329,0.598425056,3.027509115
LOC105667330,-0.10649222,7.204454707
LOC105667331,-0.019679049,7.996119214
LOC105667332,-0.469435343,8.925543369
LOC105667333,1.049592331,-0.882229035
LOC105667334,0.955772092,0.429871813
LOC105667335,-0.551495917,7.635327011
LOC105667336,0.308259482,6.059863132
LOC105667337,-0.26263651,8.03432839
LOC105667339,-0.301272035,7.932554958
LOC105667340,0.045358806,4.450419787
LOC105667341,-0.44498287,4.717412903
LOC105667342,0.226910456,5.164020825
LOC105667343,0.10945047,4.819307914
LOC105667344,-0.173434749,7.055273214
LOC105667345,-0.600178531,2.494223465
LOC105667346,0.299038757,5.049175688
LOC105667347,0.165332519,3.147338671
LOC105667348,0.239676026,7.97702702
LOC105667349,-0.016459973,6.536471034
LOC105667351,2.095000201,5.408235751
LOC105667354,2.388159157,-1.007863729
LOC105667355,2.497670586,-1.169103855
LOC105667356,2.963196229,-0.658257764
LOC105667357,-0.003974723,5.046530617
LOC105667358,2.899771049,0.577770037
LOC105667359,-1.204309797,7.83844548
LOC105667360,-0.036157343,7.548625816
LOC105667361,-0.572981062,2.001143663
LOC105667362,0.342157071,2.390605874
LOC105667363,3.034199289,-0.598362973
LOC105667364,-0.465551646,8.124206407
LOC105667365,0.487874756,3.613147343
LOC105667366,0.25107807,4.538086179
LOC105667367,0.551589016,2.691506302
LOC105667368,-0.20197864,1.628800765
LOC105667369,-0.014368421,2.736985994
LOC105667370,0.376152232,5.217368953
LOC105667371,0.180964233,3.034978611
LOC105667372,0.316039131,2.417739889
LOC105667373,-0.211622267,7.429242123
LOC105667374,-1.808299238,5.310876695
LOC105667375,-0.082047502,3.361777516
LOC105667376,0.160064574,3.811876583
LOC105667377,-0.076494658,1.351657231
LOC105667378,-0.184727191,7.596902923
LOC105667379,-0.020787341,-0.20119179
LOC105667380,-0.192791847,5.372700174
LOC105667381,0.00342299,4.027958887
LOC105667382,0.621279972,2.551974476
LOC105667383,0.03818479,7.147620331
LOC105667384,0.38326361,4.596878784
LOC105667385,0.130411454,5.597931976
LOC105667386,-2.80117103,6.347866251
LOC105667387,-0.063516494,6.833810175
LOC105667388,0.31330868,5.337936682
LOC105667389,0.149586392,6.411829892
LOC105667390,0.059677092,4.199769223
LOC105667391,1.802635414,-1.458878757
LOC105667392,0.183912955,3.893749
LOC105667393,2.799175254,-0.998932919
LOC105667394,3.384481021,-0.638111492
LOC105667395,-0.062626495,6.806928123
LOC105667396,2.317902687,-0.39698887
LOC105667397,1.774493026,-0.596436515
LOC105667398,1.899711109,-0.928834287
LOC105667399,0.268495892,2.596226941
LOC105667400,-0.439309398,8.428560584
LOC105667401,0.205236556,4.898011854
LOC105667402,0.087966351,3.493594713
LOC105667403,0.705607754,-0.760883618
LOC105667404,-0.039807798,3.000489006
LOC105667405,0.001627294,5.024925606
LOC105667406,0.071297067,5.017365001
LOC105667407,-0.102805741,5.394595383
LOC105667408,-0.201887909,5.531197017
LOC105667409,-0.436984519,7.418248089
LOC105667410,0.101687381,5.251061692
LOC105667411,0.345207398,4.493397287
LOC105667412,0.122265903,4.937192565
LOC105667413,2.888001961,3.420017213
LOC105667414,0.573180943,4.480111705
LOC105667415,0.610354178,0.634329994
LOC105667416,1.965595739,-0.659964202
LOC105667417,0.357891368,5.93514447
LOC105667418,-0.256680355,6.385224906
LOC105667419,0.552884079,5.779451206
LOC105667420,0.072852971,4.65212613
LOC105667421,0.167840576,4.126200284
LOC105667422,-0.336321259,8.190659235
LOC105667423,-0.10937976,5.922995236
LOC105667424,0.024758166,5.369918474
LOC105667425,0.276103131,6.239597296
LOC105667426,0.41744491,4.329242936
LOC105667427,1.342249674,1.14997703
LOC105667428,0.078345577,6.306356026
LOC105667429,0.249045779,2.576276545
LOC105667430,2.124914545,1.604142738
LOC105667431,1.27248633,-0.034212237
LOC105667432,0.827032817,1.177995254
LOC105667433,0.71956558,0.623079017
LOC105667434,0.186224217,2.505345765
LOC105667435,0.403943561,4.553434639
LOC105667436,0.417633102,0.827605122
LOC105667437,0.408438271,0.678080996
LOC105667438,0.77860829,1.445801482
LOC105667439,1.083992783,0.981136721
LOC105667440,2.554786784,-1.081482078
LOC105667441,0.922637601,0.011613507
LOC105667442,-0.157275629,7.453196776
LOC105667443,-0.14334119,6.041398946
LOC105667444,-0.31960106,2.24693808
LOC105667445,1.394697575,0.196202246
LOC105667446,-0.133972578,1.397542366
LOC105667447,-0.247852396,1.360265192
LOC105667448,2.561947235,-0.025178087
LOC105667449,0.549608169,0.45586711
LOC105667450,-0.031870007,6.481894855
LOC105667451,0.106507872,5.504400238
LOC105667452,0.041736955,3.938779534
LOC105667453,0.305265096,4.915536537
LOC105667454,-0.031555255,-1.041909839
LOC105667455,-0.392840214,7.295936714
LOC105667456,-0.429164913,7.569148623
LOC105667457,0.034807976,6.504578438
LOC105667458,2.595711524,3.765049457
LOC105667459,0.120357928,6.335791399
LOC105667460,-0.076025852,5.162102482
LOC105667461,1.528209597,0.563761564
LOC105667462,-0.408121552,7.161762299
LOC105667463,0.247109465,4.833141191
LOC105667464,0.178331557,3.89027949
LOC105667465,0.124486732,5.365278186
LOC105667466,0.257079331,4.314493432
LOC105667467,0.289207021,2.901846491
LOC105667468,-0.3337551,6.428244663
LOC105667469,-0.217816707,6.177227658
LOC105667470,-0.041156301,6.566875669
LOC105667471,-0.819955955,5.1506207
LOC105667472,0.399039182,5.158321191
LOC105667473,-0.149245012,3.722986996
LOC105667474,0.649590511,1.602301913
LOC105667475,0.800038264,0.10059572
LOC105667476,1.702333395,0.249275884
LOC105667477,0.065515739,5.690209114
LOC105667478,-0.358820249,5.531493919
LOC105667479,-0.302025642,3.859230191
LOC105667480,2.129324981,-0.794603766
LOC105667481,0.28400055,2.175791595
LOC105667482,2.723012607,0.427659013
LOC105667483,-0.021261184,5.965621915
LOC105667484,-0.391083074,3.278899
LOC105667485,0.426090444,6.446563148
LOC105667486,0.33136651,5.448304309
LOC105667487,0.182708282,4.193177031
LOC105667488,0.084707206,4.480022764
LOC105667489,0.172601268,4.095592201
LOC105667490,0.924462188,0.993151875
LOC105667491,0.123012967,2.922227079
LOC105667492,-0.328470883,7.950305204
LOC105667493,-0.100818702,5.727109006
LOC105667494,0.015114505,5.323657129
LOC105667495,0.424948877,3.499771226
LOC105667496,0.053401779,4.50499861
LOC105667497,1.912057838,-0.662240907
LOC105667498,0.541992843,3.40431452
LOC105667499,-0.109025145,5.125846941
LOC105667500,2.108462307,0.283999057
LOC105667501,0.544238227,1.537828003
LOC105667502,0.289391216,1.557079105
LOC105667503,-0.39751372,6.222509317
LOC105667504,-0.194062891,4.594247507
LOC105667505,0.038497351,4.374848116
LOC105667506,0.227585476,6.513358136
LOC105667507,0.215814421,3.456990199
LOC105667508,0.037941035,4.541343157
LOC105667509,0.52083918,2.796223304
LOC105667510,-0.167116996,10.07354726
LOC105667511,-0.118770166,2.631288016
LOC105667512,-0.182007549,8.010036121
LOC105667513,-0.330447142,6.125348041
LOC105667514,2.032804416,2.23682115
LOC105667515,1.042123793,-0.435717949
LOC105667516,0.176198,6.404474675
LOC105667517,0.128829678,2.638160568
LOC105667518,-0.469168228,6.166655158
LOC105667519,-0.143042791,5.403320644
LOC105667520,-0.03513997,5.257173891
LOC105667521,0.066129622,5.606084707
LOC105667522,0.127345038,2.46537074
LOC105667523,-0.431716549,7.699491798
LOC105667524,0.177976829,4.93562914
LOC105667526,0.64867363,0.672053589
LOC105667527,0.382658629,2.615865888
LOC105667528,-0.210862044,5.51280196
LOC105667529,0.288661723,4.692089469
LOC105667530,0.208952262,4.652644462
LOC105667531,1.74207662,-0.088441153
LOC105667532,-0.002104492,5.270838765
LOC105667533,1.071390174,0.036763909
LOC105667534,1.2337372,-1.665106733
LOC105667535,2.524887157,0.512063173
LOC105667536,-2.522253791,6.845357924
LOC105667537,2.530791767,0.380860409
LOC105667538,2.497652047,-1.169103855
LOC105667539,2.313295925,0.700228612
LOC105667540,2.677844989,-0.618039607
LOC105667541,1.010582414,-1.215751165
LOC105667542,0.492786916,3.940873775
LOC105667543,0.130002452,5.864433659
LOC105667544,-1.809701047,5.117634176
LOC105667545,0.140339212,5.578728014
LOC105667546,0.059086444,7.578438738
LOC105667547,-0.19570071,6.459060764
LOC105667548,-1.76182901,10.5907081
LOC105667549,0.311155922,6.579994327
LOC105667550,-0.804758654,7.835633976
LOC105667551,0.539228811,0.862774284
LOC105667552,2.586149661,-1.114941271
LOC105667553,0.406386144,-1.251402695
LOC105667554,0.047263527,7.092005488
LOC105667555,-0.19909966,9.130951674
LOC105667556,1.717144918,0.222544418
LOC105667557,-0.232969846,6.284528426
LOC105667558,0.079571503,4.031724072
LOC105667559,0.142517664,5.378751839
LOC105667560,0.516578236,3.177262503
LOC105667561,0.087447452,5.673728211
LOC105667562,-0.354718733,6.896063382
LOC105667563,0.276337435,6.439280027
LOC105667564,0.092927063,3.466625463
LOC105667565,0.272207982,2.708410063
LOC105667566,-0.024943833,4.475267718
LOC105667567,1.016626772,1.06244971
LOC105667568,1.711518678,-1.50900956
LOC105667569,2.601223797,1.140441459
LOC105667570,3.063650703,4.995680877
LOC105667571,3.295500559,6.178852185
LOC105667572,-0.196946695,7.022568513
LOC105667573,-0.403736272,7.048507531
LOC105667574,3.316607065,-0.684505994
LOC105667575,1.508246943,-0.638871644
LOC105667576,0.626078848,-1.543645444
LOC105667577,2.227286719,1.098584591
LOC105667578,1.756486937,0.428488505
LOC105667579,1.487757412,1.704694713
LOC105667580,1.703626898,1.308184757
LOC105667581,-0.163584017,7.23833523
LOC105667582,-0.504991918,6.901864949
LOC105667583,-0.072049348,7.821423004
LOC105667584,-0.372426,8.154993172
LOC105667585,-0.07610574,4.790767925
LOC105667586,2.555397308,-0.503671103
LOC105667587,-0.031302418,2.966364268
LOC105667588,-0.135116446,6.768000638
LOC105667589,0.034860321,1.953058809
LOC105667590,-0.309793182,6.085412756
LOC105667591,-0.197855558,4.484945294
LOC105667592,0.262824255,3.763453173
LOC105667593,0.355487434,2.036804815
LOC105667594,0.109828778,4.13216886
LOC105667595,0.065278457,5.043147264
LOC105667596,0.209893931,5.79506646
LOC105667597,-0.148774277,4.356254137
LOC105667598,0.239000016,0.839451975
LOC105667599,0.372447997,7.760056287
LOC105667600,0.234557723,0.907354655
LOC105667601,0.428942318,4.200724071
LOC105667602,0.313911935,2.940562795
LOC105667603,0.060182159,2.057894931
LOC105667604,1.490597429,-1.58538474
LOC105667605,-0.404508822,3.449085711
LOC105667606,-0.654796523,2.187786065
LOC105667607,2.691261429,1.355023821
LOC105667608,0.276537607,5.082728601
LOC105667609,-0.206593194,10.17797894
LOC105667610,0.323941338,1.541733758
LOC105667611,0.086131648,5.302088926
LOC105667613,0.105510624,6.168319141
LOC105667614,0.179781442,5.694041783
LOC105667615,2.838198933,0.534806781
LOC105667616,0.335332386,4.2278132
LOC105667617,0.864623394,-0.50087463
LOC105667618,-0.09258118,7.702058904
LOC105667619,0.094450971,4.109737259
LOC105667620,0.087785474,6.315612527
LOC105667621,0.246364468,7.411090221
LOC105667622,0.02634792,5.578891538
LOC105667623,2.624160904,-0.672305209
LOC105667624,0.512971273,8.156643088
LOC105667625,-0.22200617,7.254940786
LOC105667626,-0.291868421,5.572902536
LOC105667627,1.719437444,-1.003303771
LOC105667628,-0.512809141,6.878668103
LOC105667629,0.495403057,6.282017478
LOC105667630,-0.353406319,9.356113992
LOC105667631,-0.153143973,5.525890966
LOC105667632,0.924136654,5.653263108
LOC105667633,0.76555453,2.778224432
LOC105667634,0.008372979,6.095633282
LOC105667635,0.752569665,7.929800075
LOC105667636,-0.410235321,4.290405804
LOC105667637,-0.557397617,7.385930327
LOC105667638,-0.298768836,2.303254772
LOC105667639,-0.847958261,5.738223726
LOC105667640,-0.168031517,6.310976165
LOC105667641,0.092510489,6.552164711
LOC105667642,0.00047111,4.072901297
LOC105667643,-0.29928163,7.239976654
LOC105667644,-0.250374725,5.108155729
LOC105667645,-0.102949381,3.73792858
LOC105667646,-0.205514388,5.040701713
LOC105667647,-0.267153138,4.521043017
LOC105667648,-0.105737195,7.583554881
LOC105667649,-0.238355918,5.811959064
LOC105667650,-0.096555048,8.575015788
LOC105667651,0.186095148,4.22162844
LOC105667652,-0.300478286,7.51370577
LOC105667653,0.767144144,2.370028221
LOC105667654,0.240061804,4.361922211
LOC105667655,0.081237585,5.107404436
LOC105667656,-0.236988917,4.154564242
LOC105667657,0.483571613,4.290972045
LOC105667659,1.001275722,3.17604091
LOC105667661,2.008898808,3.910007512
LOC105667662,2.289310546,0.656059917
LOC105667663,-0.041074087,7.240751753
LOC105667664,-0.220355284,7.161139254
LOC105667665,0.783124883,1.879119235
LOC105667666,-0.447138862,7.697623229
LOC105667667,-0.373505125,9.197183343
LOC105667668,-0.499082331,4.466895713
LOC105667669,0.287751913,3.81157821
LOC105667670,1.050851977,3.290620002
LOC105667671,-0.106354018,-1.066168616
LOC105667672,-0.546290748,7.759384517
LOC105667673,-0.358480211,2.923325408
LOC105667674,0.186472597,1.891396559
LOC105667675,0.08561841,7.685373303
LOC105667676,-0.3730385,5.311687201
LOC105667677,-1.561763149,7.667405956
LOC105667678,0.125652905,5.730184371
LOC105667679,1.249928491,-1.217611571
LOC105667680,0.203860328,3.402852002
LOC105667681,0.082409512,9.939053076
LOC105667682,0.388539529,4.590283786
LOC105667683,0.163828217,8.349813954
LOC105667684,0.576754197,6.137695313
LOC105667685,-0.390657756,7.637429475
LOC105667686,0.028064751,7.214344731
